T=17.4, H=56.5, 19-Nov-2015, 09.30.03
T=17.4, H=56.5, 19-Nov-2015, 09.45.02
T=17.4, H=56.3, 19-Nov-2015, 10.00.03
T=17.4, H=56.3, 19-Nov-2015, 10.15.05
T=17.4, H=56.3, 19-Nov-2015, 10.30.08
T=17.3, H=56.3, 19-Nov-2015, 10.45.02
T=17.3, H=56.4, 19-Nov-2015, 11.00.03
T=17.3, H=56.4, 19-Nov-2015, 11.15.03
T=17.3, H=56.5, 19-Nov-2015, 11.30.07
T=17.3, H=56.4, 19-Nov-2015, 11.45.05
T=17.4, H=56.3, 19-Nov-2015, 12.00.05
T=17.4, H=56.4, 19-Nov-2015, 12.15.11
T=17.4, H=56.3, 19-Nov-2015, 12.30.02
T=17.4, H=56.5, 19-Nov-2015, 12.45.08
T=17.3, H=56.3, 19-Nov-2015, 13.00.05
T=17.3, H=56.4, 19-Nov-2015, 13.15.11
T=17.3, H=56.4, 19-Nov-2015, 13.30.08
T=17.3, H=56.3, 19-Nov-2015, 13.45.08
T=17.3, H=56.5, 19-Nov-2015, 14.00.03
T=17.3, H=56.5, 19-Nov-2015, 14.15.07
T=17.3, H=56.4, 19-Nov-2015, 14.30.05
T=17.3, H=56.5, 19-Nov-2015, 14.45.03
T=17.3, H=56.5, 19-Nov-2015, 15.00.03
T=17.3, H=56.7, 19-Nov-2015, 15.15.02
T=17.2, H=56.6, 19-Nov-2015, 15.30.03
T=17.2, H=56.6, 19-Nov-2015, 15.45.03
T=17.2, H=56.6, 19-Nov-2015, 16.00.02
T=17.2, H=56.7, 19-Nov-2015, 16.15.03
T=17.2, H=56.7, 19-Nov-2015, 16.30.03
T=17.2, H=56.8, 19-Nov-2015, 16.45.07
T=17.2, H=56.8, 19-Nov-2015, 17.00.03
T=17.2, H=56.7, 19-Nov-2015, 17.15.05
T=17.1, H=56.8, 19-Nov-2015, 17.30.05
T=17.1, H=56.7, 19-Nov-2015, 17.45.02
T=17.3, H=56.7, 19-Nov-2015, 18.00.03
T=17.5, H=57.4, 19-Nov-2015, 18.15.05
T=17.5, H=57.4, 19-Nov-2015, 18.30.03
T=17.7, H=56.7, 19-Nov-2015, 18.45.07
T=17.7, H=56.7, 19-Nov-2015, 19.00.03
T=17.6, H=56.5, 19-Nov-2015, 19.15.03
T=17.6, H=56.9, 19-Nov-2015, 19.30.02
T=17.7, H=56.8, 19-Nov-2015, 19.45.03
T=17.6, H=57.0, 19-Nov-2015, 20.00.03
T=17.6, H=57.0, 19-Nov-2015, 20.15.02
T=17.6, H=57.4, 19-Nov-2015, 20.30.03
T=17.6, H=57.5, 19-Nov-2015, 20.45.05
T=17.6, H=57.5, 19-Nov-2015, 21.00.03
T=17.6, H=57.5, 19-Nov-2015, 21.15.02
T=17.6, H=57.9, 19-Nov-2015, 21.30.05
T=17.6, H=57.9, 19-Nov-2015, 21.45.02
T=17.7, H=58.3, 19-Nov-2015, 22.00.05
T=17.7, H=58.3, 19-Nov-2015, 22.15.03
T=17.8, H=58.3, 19-Nov-2015, 22.30.03
T=17.8, H=58.1, 19-Nov-2015, 22.45.02
T=18.0, H=57.6, 19-Nov-2015, 23.00.05
T=18.0, H=57.3, 19-Nov-2015, 23.15.05
T=18.0, H=57.3, 19-Nov-2015, 23.30.02
T=18.0, H=57.0, 19-Nov-2015, 23.45.05
T=18.0, H=57.0, 20-Nov-2015, 00.00.03
T=17.8, H=57.1, 20-Nov-2015, 00.15.05
T=17.8, H=57.0, 20-Nov-2015, 00.30.03
T=17.7, H=57.2, 20-Nov-2015, 00.45.02
T=17.6, H=57.3, 20-Nov-2015, 01.00.03
